data_size,model_size,train_loss,eval_loss,compute
1433472,2.828427125,0.004172875,0.049083185,11467776
1446272,2.828427125,0.044106763,0.043197567,11570176
1459072,2.828427125,0.081371896,0.049634668,11672576
1471872,2.828427125,0.005355751,0.044791905,11774976
1484672,2.828427125,0.009910898,0.049193499,11877376
1497472,2.828427125,0.002870511,0.04596058,11979776
1510272,2.828427125,0.001033377,0.057918573,12082176
1523072,2.828427125,0.004243472,0.057317568,12184576
1535872,2.828427125,8.85E-05,0.048155404,12286976
1548672,2.828427125,0.001055492,0.050184687,12389376
1561472,2.828427125,0.000325477,0.048917306,12491776
1574272,2.828427125,0.001666765,0.060603874,12594176
1587072,2.828427125,0.016003707,0.049651598,12696576
1599872,2.828427125,0.000277664,0.046764527,12798976
1612672,2.828427125,0.015663927,0.04600601,12901376
1625472,2.828427125,0.000178707,0.049105362,13003776
1638272,2.828427125,0.001429599,0.049449991,13106176
1651072,2.828427125,0.00078849,0.052282001,13208576
1663872,2.828427125,0.004537558,0.048234857,13310976
1676672,2.828427125,0.001072788,0.045710759,13413376
1689472,2.828427125,0.032515679,0.051544895,13515776
1702272,2.828427125,0.006762856,0.06159819,13618176
1715072,2.828427125,0.000353446,0.051033333,13720576
1727872,2.828427125,0.045004848,0.052164943,13822976
1740672,2.828427125,0.00358767,0.048069173,13925376
1753472,2.828427125,0.0054434,0.050447189,14027776
1766272,2.828427125,0.004677833,0.050478375,14130176
1779072,2.828427125,0.000797173,0.050728225,14232576
1791872,2.828427125,0.006101979,0.0474678,14334976
1804672,2.828427125,0.001497865,0.045971872,14437376
1817472,2.828427125,0.000483151,0.047613899,14539776
1830272,2.828427125,0.000102918,0.045511056,14642176
1843072,2.828427125,0.000271726,0.054221468,14744576
1855872,2.828427125,0.006517143,0.055765219,14846976
1868672,2.828427125,0.00083965,0.055370334,14949376
1881472,2.828427125,5.48E-05,0.048885457,15051776
1894272,2.828427125,0.000270154,0.056197087,15154176
1907072,2.828427125,0.004606377,0.053193889,15256576
1919872,2.828427125,0.002925095,0.052967528,15358976
12672,4,0.059919763,0.107806302,202752
25472,4,0.067775443,0.093348604,407552
38272,4,0.12859793,0.072668637,612352
51072,4,0.038774431,0.083536502,817152
63872,4,0.085612789,0.086082233,1021952
76672,4,0.052867502,0.050117414,1226752
89472,4,0.150238127,0.041851296,1431552
102272,4,0.009991641,0.04243491,1636352
115072,4,0.033626623,0.048284016,1841152
127872,4,0.025435504,0.04875656,2045952
140672,4,0.007425201,0.047619444,2250752
153472,4,0.009670005,0.03756647,2455552
166272,4,0.006848347,0.041917128,2660352
179072,4,0.0329023,0.040749806,2865152
191872,4,0.047036786,0.056872902,3069952
204672,4,0.151799366,0.035741981,3274752
217472,4,0.039511397,0.028834182,3479552
230272,4,0.016167926,0.041191975,3684352
243072,4,0.010157543,0.038279018,3889152
255872,4,0.015059686,0.035128706,4093952
268672,4,0.006056588,0.03663778,4298752
281472,4,0.055940688,0.0366237,4503552
294272,4,0.003825333,0.034272903,4708352
307072,4,0.027813496,0.04017571,4913152
319872,4,0.017331619,0.034447949,5117952
332672,4,0.011614911,0.035572312,5322752
345472,4,0.012894007,0.035870085,5527552
358272,4,0.072867513,0.035535817,5732352
371072,4,0.017005622,0.037735333,5937152
383872,4,0.024185443,0.033247509,6141952
396672,4,0.011733304,0.032818264,6346752
409472,4,0.01941302,0.031854811,6551552
422272,4,0.102682658,0.037005292,6756352
