,step,model_size,train_loss,eval_loss,compute,eval_min,train_min,params
242,294272,1.414213562,0.039316472,0.055251791,75333631.96025126,0.052056359,0.013794354,2.0
243,307072,1.414213562,0.08541736,0.059407905,78610431.9585223,0.052056359,0.013794354,2.0
244,319872,1.414213562,0.062713236,0.055583459,81887231.95679334,0.052056359,0.013794354,2.0
245,332672,1.414213562,0.059023429,0.055063003,85164031.95506439,0.052056359,0.013794354,2.0
246,345472,1.414213562,0.003957126,0.046032975,88440831.95333543,0.046032975,0.003957126,2.0
247,358272,1.414213562,0.071982615,0.049198809,91717631.95160647,0.046032975,0.003957126,2.0
248,371072,1.414213562,0.017898299,0.05551198,94994431.94987752,0.046032975,0.003957126,2.0
249,383872,1.414213562,0.060410123,0.053138084,98271231.94814855,0.046032975,0.003957126,2.0
250,396672,1.414213562,0.036856305,0.055231868,101548031.9464196,0.046032975,0.003957126,2.0
251,409472,1.414213562,0.046674155,0.047287106,104824831.94469064,0.046032975,0.003957126,2.0
252,422272,1.414213562,0.029927567,0.053511336,108101631.94296168,0.046032975,0.003957126,2.0
253,435072,1.414213562,0.007649928,0.069316688,111378431.94123273,0.046032975,0.003957126,2.0
254,447872,1.414213562,0.022946049,0.047067163,114655231.93950377,0.046032975,0.003957126,2.0
255,460672,1.414213562,0.00695209,0.052135657,117932031.9377748,0.046032975,0.003957126,2.0
256,473472,1.414213562,0.008710078,0.051547507,121208831.93604586,0.046032975,0.003957126,2.0
257,486272,1.414213562,0.065367021,0.044030193,124485631.93431689,0.044030193,0.003957126,2.0
258,499072,1.414213562,0.046529125,0.05142564,127762431.93258794,0.044030193,0.003957126,2.0
259,511872,1.414213562,0.003745979,0.053701228,131039231.93085898,0.044030193,0.003745979,2.0
260,524672,1.414213562,0.046503205,0.047519133,134316031.92913002,0.044030193,0.003745979,2.0
261,537472,1.414213562,0.051916298,0.052121731,137592831.92740107,0.044030193,0.003745979,2.0
262,550272,1.414213562,0.104600839,0.053423474,140869631.9256721,0.044030193,0.003745979,2.0
263,563072,1.414213562,0.130199701,0.052056616,144146431.92394313,0.044030193,0.003745979,2.0
264,575872,1.414213562,0.031152092,0.050844936,147423231.92221418,0.044030193,0.003745979,2.0
265,588672,1.414213562,0.042170227,0.049056259,150700031.92048523,0.044030193,0.003745979,2.0
266,601472,1.414213562,0.088558994,0.046932433,153976831.91875628,0.044030193,0.003745979,2.0
267,614272,1.414213562,0.0198333,0.055415263,157253631.91702732,0.044030193,0.003745979,2.0
268,627072,1.414213562,0.003548454,0.049253412,160530431.91529834,0.044030193,0.003548454,2.0
269,639872,1.414213562,0.018074404,0.050450969,163807231.9135694,0.044030193,0.003548454,2.0
270,652672,1.414213562,0.011406075,0.055778721,167084031.91184044,0.044030193,0.003548454,2.0
271,665472,1.414213562,0.003769177,0.053500268,170360831.9101115,0.044030193,0.003548454,2.0
272,678272,1.414213562,0.005544032,0.056170526,173637631.90838253,0.044030193,0.003548454,2.0
273,691072,1.414213562,0.017834818,0.0447457,176914431.90665358,0.044030193,0.003548454,2.0
274,703872,1.414213562,0.021814981,0.050903231,180191231.9049246,0.044030193,0.003548454,2.0
275,716672,1.414213562,0.002290561,0.048375515,183468031.90319565,0.044030193,0.002290561,2.0
276,729472,1.414213562,0.031430166,0.049353491,186744831.9014667,0.044030193,0.002290561,2.0
277,742272,1.414213562,0.029966256,0.046325098,190021631.89973775,0.044030193,0.002290561,2.0
278,755072,1.414213562,0.003334553,0.053015789,193298431.8980088,0.044030193,0.002290561,2.0
279,767872,1.414213562,0.0448884,0.049870261,196575231.8962798,0.044030193,0.002290561,2.0
280,780672,1.414213562,0.009131826,0.04918922,199852031.89455086,0.044030193,0.002290561,2.0
281,793472,1.414213562,0.036312032,0.050816919,203128831.8928219,0.044030193,0.002290561,2.0
282,806272,1.414213562,0.008662131,0.050824719,206405631.89109296,0.044030193,0.002290561,2.0
283,819072,1.414213562,0.012621555,0.057665736,209682431.889364,0.044030193,0.002290561,2.0
